d0:asthma_attacks,asthma
d0:osteoarthritis,arthritis
d0:depression,anxiety
d0:obsessive-compulsive_disorder,anxiety
d0:OCD,anxiety
d0:phobias,anxiety
d0:hyperlipidemia,high_cholesterol
d0:hypercholesterolemia,high_cholesterol
d1:asthma_attacks,asthma
d1:depression,arthritis
d1:depression,anxiety
d1:obsessive-compulsive_disorder,anxiety
d1:OCD,anxiety
d1:OCD,anxiety
d1:OCD,high_cholesterol
d1:depression,high_cholesterol
d2:asthma_attacks,asthma
d2:depression,arthritis
d2:depression,anxiety
d2:asthma_attacks-compulsive_disorder,anxiety
d2:asthma_attacks,anxiety
d2:hyperlipidemia,anxiety
d2:hyperlipidemia,high_cholesterol
d2:hyperlipidemia,high_cholesterol
d2:asthma_attacks,asthma
d3:osteoarthritis,arthritis
d3:osteoarthritis,anxiety
d3:phobias,anxiety
d3:phobias,anxiety
d3:osteoarthritis,anxiety
d3:osteoarthritis,high_cholesterol
d3:phobias,high_cholesterol